Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,Realtor,Price_CLP_MM,F_homicidio,T_homicidio,R_homicidio,F_rlh,T_rlh,R_rlh,F_rlnh,T_rlnh,R_rlnh,F_r_veh,T_r_veh,R_r_veh,F_r_violencia,T_r_violencia,R_r_violencia,F_violacion,T_violacion,R_violacion,Sector
Maipú,Elsurazo,3,1.0,55.0,100.0,1.0,alejandra escanilla garrido,91.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
Buin,ComercianteArmandoPérezCarrasco165,4,2.0,101.0,168.0,2.0,Ambiento Propiedades,140.58,10,8.8,crítico,278,243.8,crítico,682,598.1,crítico,173,151.7,medio,385,337.6,medio,39,34.2,crítico,Sur
Pudahuel,losrododendrosponiente,4,3.0,160.0,400.0,2.0,Tzanis Propiedades,333.83,11,4.3,medio,340,131.5,medio,788,304.8,medio,410,158.6,medio,1760,680.8,alto,44,17.0,medio,Norponiente
LaFlorida,LaFlorida,2,1.0,65.0,85.0,1.0,Difusion Propiedades,85.0,14,3.4,medio,613,150.9,medio,1160,285.6,medio,653,160.7,medio,2198,541.1,alto,80,19.7,medio,Suroriente
Quilicura,PasajeSantaMagdalenaQuilicur,3,2.0,90.0,149.0,2.0,Behouse,184.36,5,1.9,medio,207,77.6,bajo,660,247.4,medio,408,152.9,medio,1658,621.4,alto,49,18.4,medio,Norte
Pudahuel,LaEsperanza,3,3.0,110.0,190.0,1.0,Tzanis Propiedades,238.45,11,4.3,medio,340,131.5,medio,788,304.8,medio,410,158.6,medio,1760,680.8,alto,44,17.0,medio,Norponiente
Pudahuel,LosAlmendros,5,3.0,165.0,400.0,2.0,Tzanis Propiedades,309.63,11,4.3,medio,340,131.5,medio,788,304.8,medio,410,158.6,medio,1760,680.8,alto,44,17.0,medio,Norponiente
Maipú,CondominioLasCatalpas2,4,4.0,130.0,130.0,1.0,Tzanis Propiedades,190.41,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
Pudahuel,Efeso,4,3.0,140.0,550.0,2.0,Tzanis Propiedades,347.0,11,4.3,medio,340,131.5,medio,788,304.8,medio,410,158.6,medio,1760,680.8,alto,44,17.0,medio,Norponiente
Pudahuel,CerrodeloAguirre,3,3.0,130.0,300.0,3.0,Tzanis Propiedades,291.84,11,4.3,medio,340,131.5,medio,788,304.8,medio,410,158.6,medio,1760,680.8,alto,44,17.0,medio,Norponiente
Pudahuel,LosAbedules,3,3.0,125.0,850.0,2.0,Tzanis Propiedades,293.62,11,4.3,medio,340,131.5,medio,788,304.8,medio,410,158.6,medio,1760,680.8,alto,44,17.0,medio,Norponiente
Pudahuel,Callenuevaunosur,4,3.0,120.0,420.0,2.0,Tzanis Propiedades,297.18,11,4.3,medio,340,131.5,medio,788,304.8,medio,410,158.6,medio,1760,680.8,alto,44,17.0,medio,Norponiente
Pudahuel,EsterodelCobre,3,3.0,130.0,170.0,1.0,Tzanis Propiedades,241.66,11,4.3,medio,340,131.5,medio,788,304.8,medio,410,158.6,medio,1760,680.8,alto,44,17.0,medio,Norponiente
LaFlorida,LaFlorida,16,12.0,389.0,890.0,3.0,Difusion Propiedades,533.85,14,3.4,medio,613,150.9,medio,1160,285.6,medio,653,160.7,medio,2198,541.1,alto,80,19.7,medio,Suroriente
PuenteAlto,CondominioJardinesdeLasVizcachas,3,3.0,85.0,180.0,2.0,Carolina Martinez Propiedades,160.0,15,2.3,medio,863,130.7,medio,1271,192.5,bajo,1015,153.7,medio,2883,436.6,medio,137,20.7,medio,Suroriente
Tiltil,Tiltil,7,3.0,250.0,1000.0,8.0,Difusion Propiedades,155.0,0,0.0,bajo,56,254.2,crítico,145,658.1,crítico,22,99.9,medio,103,467.5,medio,1,4.5,bajo,Norponiente
LoBarnechea,ElRodeo-NidodeAguilas,6,4.0,176.0,275.0,2.0,Bello Propiedades Gestión Inmobiliaria,444.88,0,0.0,bajo,187,145.6,medio,281,218.8,medio,83,64.6,bajo,87,67.7,bajo,7,5.5,bajo,Nororiente
SanBernardo,CondominioBarriónuevodenos,3,3.0,92.0,148.0,1.0,G A M P. Propiedades,136.0,22,6.4,alto,372,108.6,medio,1004,293.2,medio,861,251.5,alto,2525,737.4,alto,81,23.7,alto,Sur
Maipú,Elsurazo,5,2.0,113.0,108.0,2.0,alejandra escanilla garrido,119.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
Maipú,RamayanacercaMetroPlazaMaipu,4,2.0,110.0,130.0,3.0,Sucasa Gestión Inmobiliaria,175.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
Providencia,MiguelClaro1950,4,2.0,229.0,248.0,2.0,Sucasa Gestión Inmobiliaria,391.49,2,1.2,medio,290,179.5,alto,906,560.8,crítico,645,399.2,crítico,1301,805.2,alto,36,22.3,alto,Nororiente
Colina,Sta.Elena278,3,3.0,118.0,350.0,3.0,Behouse,354.12,16,8.4,crítico,336,177.1,alto,755,397.9,alto,245,129.1,medio,697,367.3,medio,48,25.3,alto,Norte
Huechuraba,ElCarmen,4,3.0,170.0,450.0,5.0,Giordano Propiedades,426.72,5,4.3,medio,112,96.7,bajo,281,242.5,medio,156,134.6,medio,636,548.9,alto,28,24.2,alto,Norte
Conchalí,Av.CardenalJoséMaríaCaro3638,5,2.0,248.0,292.0,2.0,Paz  Legal & Home,153.04,7,5.0,alto,155,111.8,medio,296,213.5,bajo,275,198.4,alto,1125,811.5,alto,28,20.2,medio,Norte
Lampa,ValleGrande,2,1.0,60.0,100.0,3.0,Paz  Legal & Home,130.0,4,3.0,medio,302,222.9,alto,646,476.9,alto,191,141.0,medio,664,490.2,medio,29,21.4,medio,Norte
Huechuraba,ElSauce,4,4.0,140.0,250.0,3.0,Giordano Propiedades,305.72,5,4.3,medio,112,96.7,bajo,281,242.5,medio,156,134.6,medio,636,548.9,alto,28,24.2,alto,Norte
