,Sec_Centro,Sec_Nororiente,Sec_Norponiente,Sec_Norte,Sec_Sur,Sec_Suroriente,Sec_Surponiente,Dorms,Baths,Built Area,Total Area,Parking,Price_CLP_MM
113,False,False,False,False,False,True,False,4,2.0,250.0,500.0,4.0,273.0
114,False,False,False,False,False,True,False,5,3.0,131.0,241.0,1.0,286.5
115,False,False,False,False,False,False,True,2,2.0,75.0,149.0,1.0,120.0
116,False,False,False,False,False,False,True,4,2.0,82.0,104.0,1.0,120.0
117,False,False,False,False,False,True,False,3,3.0,84.0,120.0,1.0,120.0
118,False,True,False,False,False,False,False,4,3.0,225.0,700.0,2.0,743.83
119,False,False,False,False,True,False,False,4,2.0,85.0,155.0,2.0,151.26
120,False,False,False,False,False,True,False,3,2.0,102.0,86.0,1.0,117.59
121,False,False,False,False,False,True,False,3,2.0,140.0,1000.0,4.0,355.9
122,False,True,False,False,False,False,False,6,6.0,350.0,1000.0,7.0,960.75
123,False,False,False,False,False,True,False,3,3.0,99.0,157.0,2.0,178.27
124,False,False,False,False,False,True,False,3,1.0,75.0,102.0,1.0,130.0
125,False,False,False,False,False,True,False,4,1.0,74.0,162.0,2.0,140.0
126,False,False,False,False,True,False,False,3,3.0,112.0,240.0,2.0,247.35
127,False,True,False,False,False,False,False,5,4.0,140.0,220.0,2.0,432.42
128,False,False,False,False,False,True,False,4,3.0,113.0,178.0,2.0,203.0
129,False,False,False,False,False,True,False,4,3.0,122.0,374.0,2.0,274.04
130,False,False,False,False,False,True,False,2,2.0,49.0,80.0,1.0,93.0
131,False,False,False,True,False,False,False,3,2.0,145.0,247.0,4.0,208.2
132,False,False,False,False,False,True,False,3,2.0,89.0,181.0,3.0,164.0
133,False,True,False,False,False,False,False,4,3.0,150.0,210.0,2.0,675.0
134,False,False,False,False,False,True,False,5,4.0,220.0,340.0,2.0,480.46
135,False,False,True,False,False,False,False,4,3.0,137.0,225.0,1.0,249.13
136,False,False,True,False,False,False,False,4,3.0,129.0,228.0,2.0,266.92
137,False,True,False,False,False,False,False,6,5.0,344.0,702.0,5.0,1299.04
138,False,False,False,True,False,False,False,3,3.0,135.0,135.0,2.0,366.58
139,False,False,False,True,False,False,False,6,4.0,170.0,610.0,3.0,444.88
140,False,False,False,False,False,False,True,3,1.0,65.0,90.0,2.0,87.0
141,False,False,False,False,False,False,True,5,6.0,217.0,596.0,5.0,462.67
142,False,False,False,False,False,True,False,4,2.0,80.0,100.0,1.0,88.0
143,False,False,False,False,False,False,True,3,3.0,84.0,169.0,2.0,160.16
144,False,False,False,False,False,False,True,3,2.0,55.0,93.0,4.0,77.0
145,False,False,False,False,False,False,True,3,1.0,89.0,200.0,3.0,165.49
146,False,False,False,False,False,False,True,3,3.0,155.0,233.0,4.0,270.48
147,False,True,False,False,False,False,False,4,2.0,110.0,258.0,2.0,473.35
148,False,False,False,False,False,True,False,5,3.0,178.0,264.0,1.0,199.84
149,False,True,False,False,False,False,False,3,1.0,40.0,198.0,2.0,155.0
150,False,False,False,False,False,True,False,4,3.0,80.0,105.0,3.0,126.81
151,False,False,False,True,False,False,False,3,3.0,107.0,180.0,2.0,266.92
152,False,False,False,True,False,False,False,5,2.0,182.0,250.0,4.0,220.0
153,False,False,False,False,False,True,False,3,3.0,99.0,300.0,3.0,201.08
154,False,False,False,False,False,True,False,7,4.0,206.0,1000.0,6.0,496.48
155,False,False,False,False,True,False,False,3,1.0,74.0,160.0,4.0,78.12
156,False,False,False,False,False,False,True,4,2.0,84.0,90.0,2.0,130.0
157,False,False,False,False,False,True,False,3,1.0,56.0,90.0,1.0,110.33
158,False,True,False,False,False,False,False,11,4.0,567.0,702.0,1269.0,925.34
159,False,False,False,False,False,True,False,3,2.0,65.0,105.0,1.0,150.0
160,False,True,False,False,False,False,False,4,3.0,200.0,500.0,3.0,551.64
161,False,True,False,False,False,False,False,6,5.0,180.0,542.0,2.0,745.0
162,False,True,False,False,False,False,False,7,5.0,300.0,5600.0,10.0,1031.4
163,False,True,False,False,False,False,False,3,2.0,122.0,226.0,2.0,391.49
164,False,True,False,False,False,False,False,4,2.0,119.0,165.0,1.0,319.95
165,False,True,False,False,False,False,False,4,3.0,281.0,500.0,4.0,632.79
166,False,True,False,False,False,False,False,5,4.0,130.0,150.0,2.0,444.88
167,False,True,False,False,False,False,False,3,3.0,113.0,253.0,2.0,396.83
168,False,False,False,True,False,False,False,2,1.0,80.0,56.0,1.0,65.84
169,False,True,False,False,False,False,False,5,5.0,330.0,560.0,4.0,1281.24
170,False,True,False,False,False,False,False,3,2.0,75.0,229.0,3.0,398.61
171,False,True,False,False,False,False,False,4,4.0,168.0,233.0,3.0,1263.44
172,False,False,False,False,False,True,False,4,2.0,48.0,123.0,2.0,82.0
173,False,False,False,False,False,True,False,4,2.0,90.0,140.0,1.0,109.0
174,False,False,False,False,False,False,True,3,3.0,140.0,160.0,2.0,160.0
175,False,False,False,True,False,False,False,4,2.0,100.0,245.0,6.0,125.0
176,False,False,False,False,False,False,True,6,3.0,120.0,140.0,1.0,118.0
177,False,False,False,True,False,False,False,2,1.0,55.0,70.0,1.0,65.0
178,False,False,False,False,False,False,True,3,3.0,181.0,5141.0,3.0,427.04
179,False,False,False,False,True,False,False,5,2.0,98.0,107.0,1.0,85.42
180,False,False,False,False,False,True,False,4,2.0,123.0,181.0,1.0,156.6
181,False,True,False,False,False,False,False,4,3.0,480.0,1499.0,4.0,1530.37
182,False,False,False,False,False,True,False,5,4.0,260.0,550.0,1.0,583.68
183,False,False,False,False,False,True,False,3,3.0,325.0,325.0,3.0,409.28
184,False,False,False,False,False,False,True,5,2.0,120.0,242.0,2.0,222.44
185,False,False,False,False,False,True,False,6,4.0,179.0,400.0,2.0,427.08
186,False,False,False,False,False,True,False,5,4.0,160.0,505.0,3.0,469.79
187,False,False,False,False,False,True,False,3,3.0,122.0,200.0,3.0,288.28
188,False,False,False,False,False,True,False,4,3.0,110.0,220.0,2.0,270.48
189,False,False,False,False,False,True,False,4,3.0,115.0,300.0,3.0,306.07
190,False,False,False,False,False,True,False,4,3.0,237.0,2002.0,7.0,569.44
191,False,True,False,False,False,False,False,5,5.0,350.0,750.0,2.0,1138.88
192,False,True,False,False,False,False,False,3,2.0,115.0,172.0,2.0,302.52
193,False,False,False,False,False,False,True,4,3.0,135.0,260.0,3.0,220.62
194,False,True,False,False,False,False,False,5,5.0,311.0,1543.0,6.0,992.96
195,False,True,False,False,False,False,False,5,4.0,324.0,1105.0,5.0,1032.11
196,False,True,False,False,False,False,False,6,5.0,402.0,1150.0,4.0,1089.05
197,False,True,False,False,False,False,False,5,4.0,190.0,395.0,3.0,587.24
198,False,False,False,True,False,False,False,4,4.0,313.0,4411.0,8.0,1245.65
199,False,True,False,False,False,False,False,3,2.0,110.0,225.0,3.0,370.14
200,False,True,False,False,False,False,False,6,4.0,240.0,226.0,4.0,640.62
201,False,True,False,False,False,False,False,4,4.0,380.0,960.0,3.0,1103.29
202,False,True,False,False,False,False,False,4,2.0,300.0,1250.0,8.0,925.34
203,False,False,True,False,False,False,False,4,3.0,115.0,212.0,2.0,220.0
204,False,True,False,False,False,False,False,7,4.0,250.0,960.0,4.0,1245.65
205,False,True,False,False,False,False,False,5,4.0,240.0,500.0,5.0,925.34
206,False,True,False,False,False,False,False,6,6.0,450.0,2800.0,11.0,1850.68
207,False,True,False,False,False,False,False,5,5.0,480.0,1240.0,10.0,2099.81
208,False,True,False,False,False,False,False,4,3.0,488.0,2421.0,8.0,1868.48
209,False,True,False,False,False,False,False,5,4.0,840.0,2300.0,9.0,1921.86
210,False,True,False,False,False,False,False,6,3.0,250.0,649.0,6.0,726.04
211,False,False,False,True,False,False,False,4,6.0,160.0,825.0,4.0,484.02
212,False,False,False,True,False,False,False,4,6.0,220.0,825.0,4.0,484.02
213,False,True,False,False,False,False,False,4,4.0,290.0,720.0,4.0,957.02
214,False,True,False,False,False,False,False,4,4.0,365.0,1182.0,6.0,907.54
215,False,True,False,False,False,False,False,4,4.0,402.0,795.0,5.0,1637.14
